,study_id,site_id,fruits_per_plant,observed_pollinator_richness,richness_restriction,abundance,ab_honeybee,ab_bombus,ab_wildbees,ab_syrphids,ab_humbleflies,ab_other_flies,ab_beetles,ab_lepidoptera,ab_nonbee_hymenoptera,visitation_rate,visit_honeybee,visit_bombus,visit_wildbees,visit_syrphids,visit_humbleflies,visit_other_flies,visit_beetles,visit_lepidoptera,visit_nonbee_hymenoptera
122,Amparo_Lazaro_Prunus_dulcis_Spain_2015,CanBeia,58.5102605078227,6.0,all visitors considered,674.0,437.0,218.0,11.0,6.0,0.0,1.0,0.0,1.0,0.0,5.45270680240005,3.5353603451763,1.76363513786827,0.0889907638373896,0.0485404166385762,0.0,0.0080900694397626,0.0,0.0080900694397626,0.0
123,Amparo_Lazaro_Prunus_dulcis_Spain_2015,Cooperativa,375.239868792327,3.0,all visitors considered,481.0,467.0,9.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.32497761862131,1.28641278148888,0.0247916810137043,0.0,0.0055092624474898,0.0,0.0082638936712347,0.0,0.0,0.0
124,Amparo_Lazaro_Prunus_dulcis_Spain_2015,EsRafal,79.9130367148914,6.0,all visitors considered,195.0,179.0,0.0,2.0,3.0,0.0,9.0,0.0,2.0,0.0,0.341564452774335,0.313538651521057,0.0,0.0035032251566598,0.0052548377349897,0.0,0.0157645132049693,0.0,0.0035032251566598,0.0
125,Amparo_Lazaro_Prunus_dulcis_Spain_2015,FestivalPark,253.81942002708,6.0,all visitors considered,374.0,365.0,0.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,0.575768461025299,0.561913070251963,0.0,0.003078975727408,0.003078975727408,0.0,0.006157951454816,0.001539487863704,0.0,0.0
126,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SaCanova,143.591613706236,9.0,all visitors considered,463.0,407.0,5.0,17.0,2.0,0.0,7.0,1.0,20.0,4.0,0.497626511419615,0.43743842364532,0.0053739364084191,0.0182713837886252,0.0021495745633676,0.0,0.0075235109717868,0.0010747872816838,0.0214957456336767,0.0042991491267353
127,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SaFillola,224.479952554913,8.0,all visitors considered,563.0,535.0,1.0,21.0,3.0,0.0,3.0,0.0,0.0,0.0,0.290108984103264,0.27568082858836,0.0005152912683894,0.0108211166361786,0.0015458738051683,0.0,0.0015458738051683,0.0,0.0,0.0
128,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SaMarineta,48.0771974796307,3.0,all visitors considered,247.0,243.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.08366533864542,8.93656144652161,0.0735519460619062,0.0,0.0367759730309531,0.0,0.0367759730309531,0.0,0.0,0.0
129,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SesCabanasses,35.3191374266021,5.0,all visitors considered,724.0,686.0,13.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,1.59619617339159,1.512417921197,0.0286609810139373,0.044093816944519,0.0,0.0,0.0066140725416778,0.0,0.0,0.0
130,Amparo_Lazaro_Prunus_dulcis_Spain_2015,Shospitalet,80.0177318347502,10.0,all visitors considered,670.0,546.0,2.0,83.0,4.0,0.0,7.0,0.0,28.0,0.0,0.734774002160455,0.598785977880012,0.0021933552303297,0.0910242420586832,0.0043867104606594,0.0,0.007676743306154,0.0,0.030706973224616,0.0
131,Amparo_Lazaro_Prunus_dulcis_Spain_2015,Sindioteria,491.452158007732,9.0,all visitors considered,576.0,542.0,14.0,6.0,0.0,0.0,8.0,0.0,0.0,6.0,0.346852658375724,0.32637871673549,0.0084304465577432,0.0036130485247471,0.0,0.0,0.0048173980329961,0.0,0.0,0.0036130485247471
132,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonBlai,146.137182583416,14.0,all visitors considered,629.0,600.0,14.0,1.0,1.0,0.0,9.0,0.0,1.0,3.0,1.12525380824172,1.07337406191579,0.0250453947780352,0.0017889567698596,0.0017889567698596,0.0,0.0161006109287369,0.0,0.0017889567698596,0.0053668703095789
133,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonCos,156.376994146458,8.0,all visitors considered,1014.0,962.0,0.0,5.0,4.0,0.0,8.0,20.0,13.0,2.0,0.401792613197342,0.381187863802607,0.0,0.0019812259033399,0.0015849807226719,0.0,0.0031699614453439,0.0079249036133598,0.0051511873486838,0.0007924903613359
134,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonMarrano,102.713996307316,6.0,all visitors considered,717.0,664.0,5.0,36.0,9.0,0.0,3.0,0.0,0.0,0.0,0.459188574722213,0.425245765154184,0.0032021518460405,0.0230554932914919,0.0057638733228729,0.0,0.0019212911076243,0.0,0.0,0.0
135,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonPinya,201.036324685575,12.0,all visitors considered,386.0,335.0,1.0,21.0,4.0,0.0,4.0,0.0,10.0,9.0,1.7236567422441,1.49591971153309,0.0044654319747256,0.0937740714692388,0.0178617278989026,0.0,0.0178617278989026,0.0,0.0446543197472565,0.0401888877725309
136,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonPou,450.684764537927,8.0,all visitors considered,1608.0,1580.0,15.0,1.0,2.0,0.0,9.0,0.0,0.0,1.0,1.32206399842142,1.29904298352353,0.0123326865524386,0.0008221791034959,0.0016443582069918,0.0,0.0073996119314631,0.0,0.0,0.0008221791034959
137,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonPujol,774.756851361642,6.0,all visitors considered,1365.0,1241.0,0.0,5.0,14.0,0.0,3.0,0.0,102.0,0.0,0.732253907030576,0.665734138186773,0.0,0.0026822487437017,0.0075102964823648,0.0,0.001609349246221,0.0,0.0547178743715156,0.0
138,Amparo_Lazaro_Prunus_dulcis_Spain_2015,SonVives,125.553562182072,15.0,all visitors considered,592.0,521.0,2.0,9.0,9.0,0.0,10.0,1.0,22.0,18.0,1.03035366193261,0.906780840991367,0.0034809245335561,0.0156641604010025,0.0156641604010025,0.0,0.0174046226677806,0.001740462266778,0.0382901698691172,0.031328320802005
139,Amparo_Lazaro_Prunus_dulcis_Spain_2015,Xorrigo,327.129289303135,14.0,all visitors considered,1280.0,1146.0,5.0,0.0,19.0,1.0,62.0,10.0,24.0,13.0,0.909446161497744,0.814238516465949,0.0035525240683505,0.0,0.0134995914597321,0.0007105048136701,0.044051298447547,0.0071050481367011,0.0170521155280827,0.0092365625777114
140,Amparo_Lazaro_Prunus_dulcis_Spain_2016,CanBeia,213.484004586537,6.0,all visitors considered,1309.0,940.0,328.0,1.0,14.0,0.0,9.0,0.0,17.0,0.0,1.54745356801929,1.11123480056389,0.387750015515911,0.0011821646814509,0.0165503055403133,0.0,0.0106394821330585,0.0,0.0200967995846661,0.0
141,Amparo_Lazaro_Prunus_dulcis_Spain_2016,Cooperativa,337.335934255817,5.0,all visitors considered,822.0,712.0,0.0,12.0,0.0,0.0,7.0,0.0,91.0,0.0,1.11931914893617,0.969531914893617,0.0,0.0163404255319149,0.0,0.0,0.009531914893617,0.0,0.123914893617021,0.0
142,Amparo_Lazaro_Prunus_dulcis_Spain_2016,EsRafal,120.500239678271,3.0,all visitors considered,347.0,332.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.443830500236624,0.424644743742246,0.0,0.0012790504329585,0.0,0.0,0.01790670606142,0.0,0.0,0.0
143,Amparo_Lazaro_Prunus_dulcis_Spain_2016,FestivalPark,,4.0,all visitors considered,340.0,275.0,0.0,43.0,0.0,0.0,21.0,1.0,0.0,0.0,0.738712901403555,0.597488376135228,0.0,0.0934254551775084,0.0,0.0,0.0456263850866901,0.0021726850041281,0.0,0.0
144,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SaCanova,301.979556607982,5.0,all visitors considered,796.0,751.0,0.0,18.0,11.0,0.0,4.0,0.0,8.0,4.0,0.909898865198369,0.858459858999968,0.0,0.0205756024793601,0.0125739792929423,0.0,0.0045723561065244,0.0,0.0091447122130489,0.0045723561065244
145,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SaFillola,184.790481045629,7.0,all visitors considered,799.0,643.0,0.0,127.0,2.0,0.0,14.0,0.0,10.0,3.0,0.44399125353901,0.357304600782958,0.0,0.0705718262821706,0.0011113673430263,0.0,0.0077795714011841,0.0,0.0055568367151315,0.0016670510145394
146,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SaMarineta,20.8471518360182,1.0,all visitors considered,170.0,164.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.7117903930131,3.58078602620087,0.0,0.0,0.0655021834061135,0.0,0.0655021834061135,0.0,0.0,0.0
147,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SesCabanasses,210.304310712862,7.0,all visitors considered,608.0,554.0,14.0,25.0,1.0,0.0,7.0,1.0,5.0,1.0,0.815560026827633,0.743125419181757,0.0187793427230047,0.0335345405767941,0.0013413816230717,0.0,0.0093896713615023,0.0013413816230717,0.0067069081153588,0.0013413816230717
148,Amparo_Lazaro_Prunus_dulcis_Spain_2016,Shospitalet,100.865019158411,5.0,all visitors considered,612.0,562.0,0.0,1.0,22.0,0.0,14.0,0.0,13.0,0.0,0.512082468706071,0.470245665707209,0.0,0.0008367360599772,0.0184081933194993,0.0,0.0117143048396814,0.0,0.0108775687797041,0.0
149,Amparo_Lazaro_Prunus_dulcis_Spain_2016,Sindioteria,328.245142640364,6.0,all visitors considered,455.0,405.0,0.0,39.0,1.0,0.0,1.0,1.0,8.0,0.0,1.02346662767746,0.910997767493125,0.0,0.0877257109437824,0.0022493772036867,0.0,0.0022493772036867,0.0022493772036867,0.0179950176294938,0.0
150,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SonCos,47.337463546156,8.0,all visitors considered,579.0,529.0,2.0,32.0,2.0,0.0,6.0,4.0,4.0,0.0,1.0624096882956,0.970664464781302,0.003669808940572,0.0587169430491525,0.003669808940572,0.0,0.0110094268217161,0.007339617881144,0.007339617881144,0.0
151,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SonMarrano,53.5548507031099,4.0,all visitors considered,596.0,572.0,0.0,17.0,0.0,0.0,7.0,0.0,0.0,0.0,1.20099948950805,1.15263709395739,0.0,0.0342566968483839,0.0,0.0,0.0141056987022757,0.0,0.0,0.0
152,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SonPinya,98.8483713177359,3.0,all visitors considered,255.0,153.0,0.0,90.0,6.0,0.0,6.0,0.0,0.0,0.0,1.64503747029793,0.987022482178761,0.0,0.580601460105153,0.0387067640070102,0.0,0.0387067640070102,0.0,0.0,0.0
153,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SonPou,470.282083105913,5.0,all visitors considered,271.0,260.0,5.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.661712639281151,0.634853454660883,0.01220872028194,0.0,0.0,0.0,0.007325232169164,0.0,0.007325232169164,0.0
154,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SonPujol,407.313433611668,3.0,all visitors considered,934.0,932.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.13050310817749,1.12808233064392,0.0012103887667853,0.0,0.0,0.0,0.0,0.0,0.0012103887667853,0.0
155,Amparo_Lazaro_Prunus_dulcis_Spain_2016,SonVives,66.5297956635318,4.0,all visitors considered,250.0,201.0,18.0,2.0,16.0,0.0,12.0,0.0,1.0,0.0,0.674864014900997,0.542590667980402,0.0485902090728718,0.0053989121192079,0.0431912969536638,0.0,0.0323934727152479,0.0,0.0026994560596039,0.0
156,Amparo_Lazaro_Prunus_dulcis_Spain_2016,Xorrigo,185.437277964327,5.0,all visitors considered,499.0,448.0,0.0,29.0,4.0,0.0,8.0,2.0,1.0,7.0,0.620307294515439,0.556909154194222,0.0,0.036049922927751,0.0049724031624484,0.0,0.0099448063248968,0.0024862015812242,0.0012431007906121,0.0087017055342847
